accession,WT_1,WT_2,WT_3
LOC_Os09g26190,973,1247,1153
LOC_Os03g10010,15,14,11
LOC_Os04g49850,4,2,3
LOC_Os08g26350,0,0,0
LOC_Os10g12450,44,32,36
LOC_Os06g37660,593,464,557
LOC_Os01g60190,4905,4869,4506
LOC_Os01g59190,71,80,101
LOC_Os03g06630,1588,3249,4044
LOC_Os04g24220,541,168,273
LOC_Os02g11070,45,31,104
LOC_Os03g56160,299,163,302
LOC_Os09g22505,1857,1584,1991
LOC_Os09g34910,1752,1608,1733
LOC_Os02g27000,28,29,28
LOC_Os03g02720,178,207,217
LOC_Os08g35050,624,567,601
LOC_Os04g52790,0,0,0
LOC_Os05g04220,861,498,626
LOC_Os02g28870,0,4,7
LOC_Os08g31649,0,0,0
LOC_Os01g07340,45,22,25
LOC_Os07g41650,6,2,2
LOC_Os07g09910,3,2,1
LOC_Os11g35620,0,0,0
LOC_Os05g51070,1071,1007,1130
LOC_Os01g27660,1,1,1
LOC_Os12g06820,1,3,0
LOC_Os10g34570,0,2,0
LOC_Os10g25900,0,1,0
LOC_Os09g33930,884,587,692
LOC_Os04g06340,46,36,48
LOC_Os03g30240,26,16,26
LOC_Os05g48760,2883,1751,2184
LOC_Os04g23760,32,18,26
LOC_Os02g54490,61,48,58
LOC_Os01g34830,0,0,0
LOC_Os04g44140,1,0,0
LOC_Os06g29844,184,72,76
LOC_Os02g49360,199,184,169
LOC_Os11g43900,11210,7623,8922
LOC_Os02g02520,2318,3069,2560
LOC_Os08g23120,474,489,544
LOC_Os08g34760,336,325,336
LOC_Os11g09329,818,718,783
LOC_Os03g55740,30,12,32
LOC_Os09g32690,953,716,925
LOC_Os11g14680,0,0,0
LOC_Os05g48930,167,144,290
LOC_Os04g29950,3,0,1
LOC_Os01g69950,4947,5462,4786
LOC_Os03g04960,813,678,701
LOC_Os05g41980,1,0,0
LOC_Os05g46330,820,735,721
LOC_Os05g11810,260,210,307
LOC_Os02g09070,0,0,0
LOC_Os04g12010,103,85,55
LOC_Os06g38600,0,0,0
LOC_Os01g16460,0,0,0
LOC_Os12g30620,42,40,62
LOC_Os03g58960,548,426,495
LOC_Os12g38100,17,22,57
LOC_Os08g38160,76,73,103
LOC_Os10g35790,1,1,2
LOC_Os05g39374,299,272,360
LOC_Os04g48470,0,0,0
LOC_Os06g32510,23,21,17
LOC_Os05g46500,61,29,38
LOC_Os12g01574,200,162,142
LOC_Os10g36530,1029,1180,1079
LOC_Os07g35880,347,373,505
LOC_Os05g41880,10,26,14
LOC_Os01g15790,479,508,425
LOC_Os02g50970,1103,971,1107
LOC_Os11g22404,38,31,48
LOC_Os02g52314,104,105,102
LOC_Os06g02560,118,93,82
LOC_Os01g07900,44,47,41
LOC_Os08g29970,0,0,0
LOC_Os11g39550,1,0,0
LOC_Os01g52880,0,0,2
LOC_Os01g64100,6,6,6
LOC_Os02g48210,14,5,6
LOC_Os06g42580,0,0,5
LOC_Os09g04890,891,760,682
LOC_Os04g47820,226,124,177
LOC_Os03g60690,34,29,31
LOC_Os02g43220,0,1,0
LOC_Os10g07544,0,1,1
LOC_Os01g24980,3,2,6
LOC_Os05g11920,0,0,0
LOC_Os11g40420,65,56,76
LOC_Os10g08790,1,2,1
LOC_Os10g05430,0,0,0
LOC_Os05g13804,8,3,11
LOC_Os02g25449,190,171,175
LOC_Os05g48360,626,512,783
LOC_Os06g09010,0,3,5
LOC_Os01g07480,0,0,0
LOC_Os12g16080,65,61,69
LOC_Os06g41790,1126,960,1203
LOC_Os12g01700,3,4,3
LOC_Os08g14610,41,25,47
LOC_Os11g40610,750,506,578
LOC_Os03g16110,3565,2474,2818
LOC_Os01g11390,0,0,0
LOC_Os09g38520,169,152,179
LOC_Os01g12240,2,5,3
LOC_Os08g31850,0,0,1
LOC_Os11g32930,1,3,1
LOC_Os03g55050,63,55,50
LOC_Os01g72710,12,17,17
LOC_Os02g06120,73,55,57
LOC_Os06g20040,19,31,36
LOC_Os10g38140,192,191,263
LOC_Os09g17152,0,1,0
LOC_Os03g32690,7,10,2
LOC_Os10g09750,0,0,0
LOC_Os04g05250,0,0,0
LOC_Os05g23350,0,0,2
LOC_Os02g38580,88,30,141
LOC_Os02g54110,653,693,687
LOC_Os05g18710,0,0,0
LOC_Os02g40000,440,352,426
LOC_Os07g39540,0,0,0
LOC_Os01g16310,84,55,59
LOC_Os08g21080,1,0,0
LOC_Os03g38730,25671,15792,18314
LOC_Os03g63310,177,47,95
LOC_Os12g32970,3,3,3
LOC_Os03g43720,1652,1492,1137
LOC_Os02g47890,139,150,145
LOC_Os01g53390,65,27,44
LOC_Os04g30740,101,87,90
LOC_Os09g29404,347,399,418
LOC_Os08g31030,5,2,0
LOC_Os06g17980,8,0,1
LOC_Os04g52504,14,20,19
LOC_Os02g07700,47,34,50
LOC_Os02g43980,0,0,0
LOC_Os05g39370,2,3,3
LOC_Os04g24970,2,8,9
LOC_Os03g02820,11,9,9
LOC_Os02g36000,95,21,67
LOC_Os12g33020,474,457,472
LOC_Os01g56010,12,12,16
LOC_Os01g74430,2,0,2
LOC_Os03g19375,1,0,2
LOC_Os05g04430,1,2,3
LOC_Os02g38690,48,45,45
LOC_Os07g03820,2,2,2
LOC_Os09g25770,78,49,67
LOC_Os08g01660,124,77,104
LOC_Os02g01180,648,664,564
LOC_Os05g06630,797,688,777
LOC_Os05g41030,455,404,530
LOC_Os09g19460,2,0,3
LOC_Os11g31470,8,4,13
LOC_Os02g09130,609,532,629
LOC_Os02g06630,4,3,0
LOC_Os02g50110,0,0,6
LOC_Os01g57880,0,0,0
LOC_Os04g32330,1231,1150,1117
LOC_Os04g12830,51,20,18
LOC_Os04g35250,0,0,0
LOC_Os02g02790,4,9,7
LOC_Os06g21840,6,2,6
LOC_Os01g68610,8,8,8
LOC_Os06g29310,486,391,487
LOC_Os02g44840,3,3,5
LOC_Os09g33810,1190,949,966
LOC_Os04g34940,370,369,425
LOC_Os06g25470,3,0,1
LOC_Os12g01355,0,1,1
LOC_Os08g26270,19,23,28
LOC_Os11g35050,5,3,8
LOC_Os02g29170,11,6,6
LOC_Os04g30710,0,0,2
LOC_Os08g43440,5172,3533,4303
LOC_Os05g38020,1,1,0
LOC_Os03g26360,124,122,109
LOC_Os05g41010,97,100,75
LOC_Os08g28340,0,1,0
LOC_Os12g07200,0,7,3
LOC_Os01g28790,177,293,495
LOC_Os12g05380,8,2,6
LOC_Os03g02670,192,201,171
LOC_Os07g28940,805,552,615
LOC_Os12g41810,404,388,383
LOC_Os12g44230,56,28,28
LOC_Os12g05550,680,522,590
LOC_Os02g06290,8,6,10
LOC_Os10g41870,137,150,120
LOC_Os04g55620,2,3,0
LOC_Os05g29170,292,202,298
LOC_Os10g37500,437,373,579
LOC_Os01g50610,17,8,7
